person,site,n_pc,pre_crastinate,prop_hard,targ_side_rel,median_rt,accuracy
6,Aberdeen,6,yes,0.8968360071301248,absent,12.753,0.7872340425531915
6,Aberdeen,6,yes,0.8968360071301248,easy,0.996,1
6,Aberdeen,6,yes,0.8968360071301248,hard,7.243,0.5217391304347826
9,Aberdeen,6,yes,0.5796981077567529,absent,14.7,1
9,Aberdeen,6,yes,0.5796981077567529,easy,1.053,1
9,Aberdeen,6,yes,0.5796981077567529,hard,11.185,0.375
11,Aberdeen,6,yes,0.5935569498069498,absent,4.766,0.9166666666666666
11,Aberdeen,6,yes,0.5935569498069498,easy,0.8534999999999999,0.9583333333333334
11,Aberdeen,6,yes,0.5935569498069498,hard,4.418,0.25
12,Aberdeen,1,no,0.6073986563018504,absent,6.6905,0.875
12,Aberdeen,1,no,0.6073986563018504,easy,1.248,1
12,Aberdeen,1,no,0.6073986563018504,hard,5.8085,0.25
13,Aberdeen,0,no,0.7460107835107835,absent,4.4185,1
13,Aberdeen,0,no,0.7460107835107835,easy,1.0510000000000002,1
13,Aberdeen,0,no,0.7460107835107835,hard,3.7435,0.25
15,Aberdeen,1,no,0.5580094537815126,absent,4.9,0.8297872340425532
15,Aberdeen,1,no,0.5580094537815126,easy,0.6785000000000001,1
15,Aberdeen,1,no,0.5580094537815126,hard,4.025,0.4782608695652174
16,Aberdeen,6,yes,0.5522005438286659,absent,22.5625,1
16,Aberdeen,6,yes,0.5522005438286659,easy,1.11,1
16,Aberdeen,6,yes,0.5522005438286659,hard,15.354500000000002,0.7916666666666666
17,Aberdeen,1,no,0.5753234363557677,absent,8.6645,0.9375
17,Aberdeen,1,no,0.5753234363557677,easy,0.885,1
17,Aberdeen,1,no,0.5753234363557677,hard,7.602499999999999,0.3333333333333333
18,Aberdeen,1,no,0.3680555555555555,absent,5.188,0.8297872340425532
18,Aberdeen,1,no,0.3680555555555555,easy,0.8035000000000001,0.9583333333333334
18,Aberdeen,1,no,0.3680555555555555,hard,4.0265,0.20833333333333334
19,Aberdeen,6,yes,0.4225901377064168,absent,7.449,0.9583333333333334
19,Aberdeen,6,yes,0.4225901377064168,easy,1.0745,0.9583333333333334
19,Aberdeen,6,yes,0.4225901377064168,hard,5.8665,0.16666666666666666
21,Aberdeen,0,no,0.786164475901584,absent,4.497,0.9787234042553191
21,Aberdeen,0,no,0.786164475901584,easy,0.709,1
21,Aberdeen,0,no,0.786164475901584,hard,2.621,0.5416666666666666
22,Aberdeen,0,no,0.35462077627420796,absent,44.141999999999996,0.8958333333333334
22,Aberdeen,0,no,0.35462077627420796,easy,3.2344999999999997,0.9583333333333334
22,Aberdeen,0,no,0.35462077627420796,hard,36.782,0.2916666666666667
23,Aberdeen,0,no,0.719946509009009,absent,19.986,0.851063829787234
23,Aberdeen,0,no,0.719946509009009,easy,1.1524999999999999,1
23,Aberdeen,0,no,0.719946509009009,hard,13.157,0.6818181818181818
24,Aberdeen,1,no,0.2910987768527084,absent,20.256,0.9791666666666666
24,Aberdeen,1,no,0.2910987768527084,easy,1.0125,1
24,Aberdeen,1,no,0.2910987768527084,hard,15.024000000000001,0.75
25,Aberdeen,6,yes,0.6643846238358434,absent,23.661,0.8958333333333334
25,Aberdeen,6,yes,0.6643846238358434,easy,1.719,0.9565217391304348
25,Aberdeen,6,yes,0.6643846238358434,hard,19.9485,0.16666666666666666
26,Aberdeen,6,yes,0.5512485481997677,absent,19.704500000000003,0.9791666666666666
26,Aberdeen,6,yes,0.5512485481997677,easy,1.0979999999999999,1
26,Aberdeen,6,yes,0.5512485481997677,hard,17.4665,0.4166666666666667
27,Aberdeen,0,no,0.3048749692042375,absent,18.4665,0.9583333333333334
27,Aberdeen,0,no,0.3048749692042375,easy,0.877,1
27,Aberdeen,0,no,0.3048749692042375,hard,14.067,0.5
28,Aberdeen,0,no,0.6198717948717949,absent,9.014,0.8958333333333334
28,Aberdeen,0,no,0.6198717948717949,easy,1.1005,1
28,Aberdeen,0,no,0.6198717948717949,hard,7.715999999999999,0.4166666666666667
29,Aberdeen,4,yes,0.5743662224403503,absent,10.6945,0.9166666666666666
29,Aberdeen,4,yes,0.5743662224403503,easy,0.8195,0.9583333333333334
29,Aberdeen,4,yes,0.5743662224403503,hard,6.688,0.30434782608695654
32,Aberdeen,0,no,0.2625565273131196,absent,13.475000000000001,0.75
32,Aberdeen,0,no,0.2625565273131196,easy,0.96,1
32,Aberdeen,0,no,0.2625565273131196,hard,7.789,0.6086956521739131
33,Aberdeen,6,yes,0.40939754689754687,absent,21.512,1
33,Aberdeen,6,yes,0.40939754689754687,easy,1.3405,1
33,Aberdeen,6,yes,0.40939754689754687,hard,20.269,0.16666666666666666
35,Aberdeen,6,yes,0.4295621657754011,absent,8.256499999999999,0.9583333333333334
35,Aberdeen,6,yes,0.4295621657754011,easy,0.899,1
35,Aberdeen,6,yes,0.4295621657754011,hard,6.649,0.30434782608695654
38,Aberdeen,0,no,0.2513565891472868,absent,22.329,0.9791666666666666
38,Aberdeen,0,no,0.2513565891472868,easy,1.213,1
38,Aberdeen,0,no,0.2513565891472868,hard,20.247999999999998,0.2916666666666667
39,Aberdeen,6,yes,0.4468196395191302,absent,12.3235,1
39,Aberdeen,6,yes,0.4468196395191302,easy,0.89,1
39,Aberdeen,6,yes,0.4468196395191302,hard,10.954,0.5
40,Aberdeen,0,no,0.15743321718931474,absent,12.605,0.875
40,Aberdeen,0,no,0.15743321718931474,easy,0.665,0.9565217391304348
40,Aberdeen,0,no,0.15743321718931474,hard,10.7875,0.4583333333333333
42,Aberdeen,3,intermediate,0.37408845788522227,absent,14.3245,1
42,Aberdeen,3,intermediate,0.37408845788522227,easy,1.694,0.875
42,Aberdeen,3,intermediate,0.37408845788522227,hard,12.516,0.4782608695652174
