site,person,trial,targ_side_rel,accuracy,rt
Aberdeen,4,7,easy,1,4.146
Aberdeen,4,8,hard,0,5.884
Aberdeen,4,9,easy,1,1.102
Aberdeen,4,10,hard,0,7.049
Aberdeen,4,11,easy,1,1.128
Aberdeen,4,12,absent,1,10.119
Aberdeen,4,13,absent,1,10.864
Aberdeen,4,14,easy,1,2.47
Aberdeen,4,15,hard,0,9.671
Aberdeen,4,16,absent,1,11.429
Aberdeen,4,17,absent,1,12.896
Aberdeen,4,18,absent,0,7.078
Aberdeen,4,19,absent,0,7.158
Aberdeen,4,20,absent,0,6.243
Aberdeen,4,21,easy,1,0.883
Aberdeen,4,22,absent,0,13.051
Aberdeen,4,23,hard,0,13.698
Aberdeen,4,24,easy,1,0.811
Aberdeen,4,25,absent,0,7.677
Aberdeen,4,26,absent,0,2.291
Aberdeen,4,27,absent,0,18.854
Aberdeen,4,28,absent,1,15.741
Aberdeen,4,29,hard,0,13.695
Aberdeen,4,30,hard,1,4.837
Aberdeen,4,31,absent,0,10.64
Aberdeen,4,32,absent,1,12.363
Aberdeen,4,33,absent,1,10.581
Aberdeen,4,34,absent,0,9.302
Aberdeen,4,35,easy,1,0.859
Aberdeen,4,36,easy,1,0.751
Aberdeen,4,37,hard,1,8.479
Aberdeen,4,38,absent,1,19.322
Aberdeen,4,39,easy,1,1.013
Aberdeen,4,40,absent,0,7.343
Aberdeen,4,41,absent,1,9.933
Aberdeen,4,42,easy,1,0.83
Aberdeen,4,43,absent,0,10.435
Aberdeen,4,44,hard,1,14.773
Aberdeen,4,45,absent,0,2.584
Aberdeen,4,46,absent,1,14.52
Aberdeen,4,47,hard,0,8.922
Aberdeen,4,48,easy,1,0.746
Aberdeen,4,49,hard,0,10.394
Aberdeen,4,50,hard,1,3.232
Aberdeen,4,51,absent,0,15.072
Aberdeen,4,52,easy,1,0.723
Aberdeen,4,53,hard,0,13.834
Aberdeen,4,54,absent,1,14.169
Aberdeen,4,55,absent,1,15.492
Aberdeen,4,56,easy,1,1.104
Aberdeen,4,57,absent,0,6.742
Aberdeen,4,58,hard,0,14.764
Aberdeen,4,59,absent,1,15.537
Aberdeen,4,60,hard,0,10.395
Aberdeen,4,61,hard,0,11.691
Aberdeen,4,62,absent,1,17.172
Aberdeen,4,63,easy,1,0.957
Aberdeen,4,64,hard,1,18.76
Aberdeen,4,65,absent,0,9.16
Aberdeen,4,66,easy,1,1.565
Aberdeen,4,67,absent,0,3.848
Aberdeen,4,68,hard,1,1.271
Aberdeen,4,69,absent,0,4.712
Aberdeen,4,70,absent,0,6.335
Aberdeen,4,72,absent,0,12.423
Aberdeen,4,73,easy,1,1.023
Aberdeen,4,74,easy,1,0.783
Aberdeen,4,75,absent,1,18.057
Aberdeen,4,76,easy,1,1.385
Aberdeen,4,77,absent,0,4.073
Aberdeen,4,78,hard,0,14.686
Aberdeen,4,79,easy,1,0.841
Aberdeen,4,80,easy,1,0.795
Aberdeen,4,81,absent,1,10.402
Aberdeen,4,82,easy,1,0.707
Aberdeen,4,83,absent,1,9.96
Aberdeen,4,84,hard,1,2.082
