subject,targSide,RT,accuracy
person1,absent,2.122,1
person1,absent,4.414,1
person1,easy,1.154,0
person1,hard,4.699,0
person1,hard,5.774,1
person1,absent,8.267,1
person1,easy,2.657,1
person1,hard,4.162,1
person1,absent,2.677,0
person1,hard,3.428,1
person1,absent,2.485,0
person1,easy,1.117,1
person1,absent,2.685,0
person1,easy,0.988,1
person1,absent,3.243,0
person1,absent,9.866,1
person1,absent,7.014,0
person1,easy,1.511,1
person1,hard,5.919,0
person1,hard,6.528,0
person1,absent,2.261,0
person1,absent,8.198,1
person1,absent,3.375,1
person1,easy,7.309,1
person1,absent,6.068,1
person1,hard,4.851,0
person1,absent,7.56,1
person1,absent,6.723,0
person1,hard,4.502,1
person1,absent,13.184,1
person1,easy,3.927,1
person1,hard,7.292,1
person1,absent,8.425,0
person1,hard,1.814,1
person1,absent,8.78,0
person1,absent,7.768,0
person1,absent,2.588,0
person1,easy,1.407,1
person1,easy,1.197,1
person1,hard,9.166,1
person1,easy,1.397,1
person1,absent,12.911,1
person1,absent,8.331,0
person1,absent,9.404,1
person1,easy,1.011,0
person1,easy,1.063,1
person1,hard,2.809,1
person1,absent,9.35,1
person1,hard,6.742,0
person1,absent,8.474,1
person1,easy,1.108,1
person1,absent,8.808,1
person1,absent,9.662,1
person1,absent,4.838,0
person1,absent,12.42,1
person1,hard,5.914,1
person1,absent,12.456,1
person1,absent,8.998,1
person1,easy,1.658,1
person1,easy,0.858,1
person1,hard,10.804,1
person1,hard,12.761,1
person1,absent,8.001,0
person1,easy,1.023,1
person1,hard,9.886,0
person1,hard,10.456,0
person1,absent,16.509,1
person1,easy,1.246,1
person1,easy,1.025,1
person1,absent,7.936,1
person1,absent,9.265,1
person1,absent,12.364,1
person1,absent,8.055,1
person1,hard,4.29,0
person1,easy,2.398,1
person1,hard,14.348,0
person1,hard,4.003,1
person1,absent,14.259,1
person1,absent,2.25,0
person1,absent,10.861,1
person1,easy,1.077,1
person1,hard,4.106,1
person1,easy,1.003,1
person1,easy,0.878,1
person1,hard,4.609,1
person1,absent,10.874,1
person1,hard,7.626,1
person1,absent,11.333,1
person1,easy,1.004,1
person1,absent,8.266,1
person1,absent,9.669,1
person1,absent,13.158,1
person1,easy,1.127,1
person1,absent,14.156,1
person1,absent,6.467,1
person1,absent,8.537,1
person2,easy,1.55,1
person2,hard,15.591,0
person2,easy,5.686,1
person2,hard,7.898,0
person2,easy,1.129,1
person2,absent,11.079,0
person2,absent,15.531,1
person2,easy,2.961,1
person2,hard,5.531,1
person2,absent,14.909,1
person2,absent,9.779,1
person2,absent,12.067,1
person2,absent,11.983,1
person2,absent,11.499,1
person2,easy,0.949,1
person2,absent,11.938,1
person2,hard,11.321,0
person2,easy,1.023,1
person2,absent,12.398,1
person2,absent,11.125,1
person2,absent,14.03,1
person2,absent,11.339,1
person2,hard,2.791,1
person2,hard,11.499,0
person2,absent,13.383,1
person2,absent,12.305,1
person2,absent,7.535,1
person2,absent,11.027,1
person2,easy,13.159,0
person2,easy,1.26,1
person2,hard,16.779,0
person2,absent,12.615,1
person2,easy,1.177,1
person2,absent,16.359,1
person2,absent,13.571,1
person2,easy,1.235,1
person2,absent,10.95,1
person2,hard,8.994,0
person2,absent,14.571,1
person2,absent,10.859,1
person2,hard,11.936,0
person2,easy,1.582,1
person2,hard,15.919,0
person2,hard,20.852,0
person2,absent,31.588,1
person2,easy,1.347,1
person2,hard,21.998,0
person2,absent,22.28,1
person2,absent,10.143,1
person2,easy,0.999,1
person2,absent,7.049,1
person2,hard,10.468,0
person2,absent,15.421,1
person2,hard,15.429,0
person2,hard,12.486,1
person2,absent,18.227,1
person2,easy,1.591,1
person2,hard,10.963,0
person2,absent,11.817,1
person2,easy,1.032,1
person2,absent,20.576,1
person2,hard,10.928,1
person2,absent,11.098,1
person2,absent,8.932,1
person2,absent,11.879,1
person2,absent,7.477,1
