"condition","subject","trialNum","targSide","RT","accuracy"
"1","linesB","1",17,"absent",2.122,1
"2","linesB","1",18,"absent",4.414,1
"3","linesB","1",19,"easy",1.154,0
"4","linesB","1",20,"hard",4.699,0
"5","linesB","1",21,"hard",5.774,1
"6","linesB","1",22,"absent",8.267,1
"7","linesB","1",23,"easy",2.657,1
"8","linesB","1",24,"hard",4.162,1
"9","linesB","1",25,"absent",2.677,0
"10","linesB","1",26,"hard",3.428,1
"11","linesB","1",27,"absent",2.485,0
"12","linesB","1",28,"easy",1.117,1
"13","linesB","1",29,"absent",2.685,0
"14","linesB","1",30,"easy",0.988,1
"15","linesB","1",31,"absent",3.243,0
"16","linesB","1",32,"absent",9.866,1
"17","linesB","1",33,"absent",7.014,0
"18","linesB","1",34,"easy",1.511,1
"19","linesB","1",35,"hard",5.919,0
"20","linesB","1",36,"hard",6.528,0
"21","linesB","1",37,"absent",2.261,0
"22","linesB","1",38,"absent",8.198,1
"23","linesB","1",39,"absent",3.375,1
"24","linesB","1",40,"easy",7.309,1
"25","linesB","1",41,"absent",6.068,1
"26","linesB","1",42,"hard",4.851,0
"27","linesB","1",43,"absent",7.56,1
"28","linesB","1",44,"absent",6.723,0
"29","linesB","1",45,"hard",4.502,1
"30","linesB","1",46,"absent",13.184,1
"31","linesB","1",47,"easy",3.927,1
"32","linesB","1",48,"hard",7.292,1
"33","linesB","1",49,"absent",8.425,0
"34","linesB","1",50,"hard",1.814,1
"35","linesB","1",51,"absent",8.78,0
"36","linesB","1",52,"absent",7.768,0
"37","linesB","1",53,"absent",2.588,0
"38","linesB","1",54,"easy",1.407,1
"39","linesB","1",55,"easy",1.197,1
"40","linesB","1",56,"hard",9.166,1
"41","linesB","1",57,"easy",1.397,1
"42","linesB","1",58,"absent",12.911,1
"43","linesB","1",59,"absent",8.331,0
"44","linesB","1",60,"absent",9.404,1
"45","linesB","1",61,"easy",1.011,0
"46","linesB","1",62,"easy",1.063,1
"47","linesB","1",63,"hard",2.809,1
"48","linesB","1",64,"absent",9.35,1
"49","linesB","1",65,"hard",6.742,0
"50","linesB","1",66,"absent",8.474,1
"51","linesB","1",67,"easy",1.108,1
"52","linesB","1",68,"absent",8.808,1
"53","linesB","1",69,"absent",9.662,1
"54","linesB","1",70,"absent",4.838,0
"55","linesB","1",71,"absent",12.42,1
"56","linesB","1",72,"hard",5.914,1
"57","linesB","1",73,"absent",12.456,1
"58","linesB","1",74,"absent",8.998,1
"59","linesB","1",75,"easy",1.658,1
"60","linesB","1",76,"easy",0.858,1
"61","linesB","1",77,"hard",10.804,1
"62","linesB","1",78,"hard",12.761,1
"63","linesB","1",79,"absent",8.001,0
"64","linesB","1",80,"easy",1.023,1
"65","linesB","1",81,"hard",9.886,0
"66","linesB","1",82,"hard",10.456,0
"67","linesB","1",83,"absent",16.509,1
"68","linesB","1",84,"easy",1.246,1
"69","linesB","1",85,"easy",1.025,1
"70","linesB","1",86,"absent",7.936,1
"71","linesB","1",87,"absent",9.265,1
"72","linesB","1",88,"absent",12.364,1
"73","linesB","1",89,"absent",8.055,1
